Sample	Type	Subtype	Color	Color2	MeanMethylation
BP_bone_marrow_S00CYPA1_myeloid_cell_AcuteMyeloidLeukemia	Myeloid cancer	AcuteMyeloidLeukemia	orange	'#9AC48A'	0.754827
BP_bone_marrow_S00D0FA1_myeloid_cell_AcuteMyeloidLeukemia	Myeloid cancer	AcuteMyeloidLeukemia	orange	'#9AC48A'	0.709033
BP_bone_marrow_S013M3A1_myeloid_cell_AcuteMyeloidLeukemia	Myeloid cancer	AcuteMyeloidLeukemia	orange	'#9AC48A'	0.804822
BP_bone_marrow_S013N1A1_mononuclear_cell_of_bone_marrow_AcuteMyeloidLeukemia	Myeloid cancer	AcuteMyeloidLeukemia	orange	'#9AC48A'	0.794084
BP_venous_blood_S00CWTA1_myeloid_cell_AcuteMyeloidLeukemia	Myeloid cancer	AcuteMyeloidLeukemia	orange	'#9AC48A'	0.850437
BP_venous_blood_S00D1DA1_myeloid_cell_AcuteMyeloidLeukemia	Myeloid cancer	AcuteMyeloidLeukemia	orange	'#9AC48A'	0.767229
BP_venous_blood_S00Y4YA1_myeloid_cell_AcuteMyeloidLeukemia	Myeloid cancer	AcuteMyeloidLeukemia	orange	'#9AC48A'	0.778518
BP_venous_blood_S00Y6UA1_myeloid_cell_AcuteMyeloidLeukemia	Myeloid cancer	AcuteMyeloidLeukemia	orange	'#9AC48A'	0.637529
BP_venous_blood_S013PYA1_myeloid_cell_AcuteMyeloidLeukemia	Myeloid cancer	AcuteMyeloidLeukemia	orange	'#9AC48A'	0.717839
BP_venous_blood_S013RUA1_peripheral_blood_mononuclear_cell_AcuteMyeloidLeukemia	Myeloid cancer	AcuteMyeloidLeukemia	orange	'#9AC48A'	0.775272
BP_venous_blood_S013SSA1_myeloid_cell_AcuteMyeloidLeukemia	Myeloid cancer	AcuteMyeloidLeukemia	orange	'#9AC48A'	0.745895
BP_venous_blood_S0145XU1_NA_TcellProlymphocyticLeukemia	Lymphoid cancer	TcellProlymphocyticLeukemia	green	'#E26DDF'	0.609731
BP_venous_blood_S016KWU1_NA_TcellProlymphocyticLeukemia	Lymphoid cancer	TcellProlymphocyticLeukemia	green	'#E26DDF'	0.433562
BP_venous_blood_S016MSU1_NA_TcellProlymphocyticLeukemia	Lymphoid cancer	TcellProlymphocyticLeukemia	green	'#E26DDF'	0.571528
BP_venous_blood_S00D2BA1_myeloid_cell_AcuteMyeloidLeukemia	Myeloid cancer	AcuteMyeloidLeukemia	orange	'#9AC48A'	0.715818
BP_venous_blood_S00D39A1_myeloid_cell_AcuteMyeloidLeukemia	Myeloid cancer	AcuteMyeloidLeukemia	orange	'#9AC48A'	0.748202
BP_venous_blood_S00Q7NA1_myeloid_cell_AcuteMyeloidLeukemia	Myeloid cancer	AcuteMyeloidLeukemia	orange	'#9AC48A'	0.625015
